Наименование предмета,Автор,Музей,Идентификатор музея,КОПУК музея,ИНН музея,Items,Дата создания предмета (строка),Место создания,Items,Место находки,Строковое описание размеров,Описание,Количество составляющих,Изображение,Регистрационный номер Госкаталога,Дата регистрации записи.,Инвентарный номер,Номер по ГИК,Внутренний идентификатор,Собственник,Тип предмета,Вес,Единица измерения веса,Ширина,Высота,Длина,Единица измерения размера,Идентификатор эпохи создания предмета,Эпоха создания предмета,Время эпохи,Название эпохи,Интервал времени создания предмета (начало),Интервал времени создания предмета (окончание),"Точность задания времени (день, месяц, год, век, эпоха).",URL предмета на сайте музея,Ключевые слова,Краткое описание истории бытования (провенанс) предмета,Идентификатор статуса предмета,Типология,Идентификатор типологии,Типология (строковое описание).,Причина исключения,Основание для регистрации предмета,Бюджет,Часть музейного фонда,Порядок управления,Предмет в музейной системе,Музейная система
Бубен шаманский. Ккъас. Нивхи. ((сев.-зап. и амурск.)),"[""Изгин Владимир Алексеевич""]","Муниципальное бюджетное учреждение ""Охинский краеведческий музей""",2279,122265,null,"[""дерево, кожа"",""гнутьё дерева""]",2009,с.  Некрасовка,,,55х48 см.,"Односторонний рамный барабан, обтянут собачьей кожей. Обруч -""обейка""  деревянный. Форма овальная, несколько расширяющаяся в верхней части. Обтяжка приклеена к обечайке. С внутренней стороны в центре медное кольцо,  от которого идут восемь ремешков- растяжек. На лицевой стороне в нижней части бубна изображен черный паук.",1,"[{""id"":6874049,""code"":""6874049"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874049""}]",9881826,2017-12-11T22:59:39.625Z,ЭТН-28,ОКМ КП-1820/1,10000003,,,,,,,,,,,,,2009-01-01T12:00:00.000Z,,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
Туес берестяной. Нанайцы.,,"Муниципальное бюджетное учреждение ""Охинский краеведческий музей""",2279,122265,null,"[""береста"",""склеивание, шитьё""]",2009,"Хабаровский край, с. Сикачи-Алян",,,"Д-9 см. Н- 13,8 см.","Цилиндрической формы. Центральная часть орнаментирована, рисунок в виде двух стилизованных птиц, которые расположились по обе стороны распустившегося цветка. Орнамент плоско-рельефный, резной, цвет черный. Горловина и поддон надставлены двухслойными полосками бересты и прошиты корнем тальника, швом через край. Сверху и снизу изделия, желто-коричневые, зубчатые полосы, для отделки ободков.",1,"[{""id"":6874048,""code"":""6874048"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874048""}]",9881827,2017-12-11T22:59:39.625Z,ЭТН-32,ОКМ КП-1824/1,10000002,,,,,,,,,,,,,2009-01-01T12:00:00.000Z,,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
Блюдо ритуальное. Нарх нир. Нивхи. (ритуальная посуда для гостей на медвежьем празднике.),"[""Ялин Валерий Яковлевич""]","Муниципальное бюджетное учреждение ""Охинский краеведческий музей""",2279,122265,null,"[""дерево"",""резьба""]",2007 год,г. Оха,,,"26,5х12х4,5 см.","Блюдо ритуальное малое, прямоугольной формы.  С двух сторон выступы-козырьки прямоугольной формы, на которых нанесён прорезной рельефный орнамент. Тип орнамента-криволинейный (завитки). Дно плоское, сужается к низу. Оборотная сторона без орнамента.",1,"[{""id"":6874047,""code"":""6874047"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874047""}]",9881828,2017-12-11T22:59:39.625Z,ЭТН-16,ОКМ КП-1805/9,10000001,,,,,,,,,,,,,2007-01-01T12:00:00.000Z,,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
Инструмент музыкальный. Погремушка.  Нанайцы.,,"Муниципальное бюджетное учреждение ""Охинский краеведческий музей""",2279,122265,null,"[""дерево, кожа, береста"",""Резьба, склеивание""]",2009,"Хабаровский край, с. Сикачи-Алян",,,"Д - 8,5 см, Н- 6 см, длина рукоятки 11,5 см","На выструганной, круглой рукоятке крепится небольшой барабан, обод которого выполнен из бересты и орнаментирован. Барабан обтянут с двух сторон рыбьей кожей, внутри полый, наполнен крупой для создания ритмичного звука. В берестяном ободе на противоположной стороне от рукоятки имеется отверстие, которое закрыто деревянной резной деталью в виде головы человека.",1,"[{""id"":6874045,""code"":""6874045"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874045""},{""id"":6874046,""code"":""6874046"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874046""}]",9881829,2017-12-11T22:59:39.625Z,ЭТН-34,ОКМ КП-1824/4,10000000,,,,,,,,,,,,,2009-01-01T12:00:00.000Z,,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
"Бутылка парфюмерная ""Товарищество Брокар Ко в Москве""",,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""стекло"",""заводское производство""]",нач.20 в.,,,,"13х5,4х2,7 см","Из прозрачного белого толстостенного стекла. Тулово в форме прямоугольника, овальная в поперечном сечении, с двух сторон выпуклая грань, которая плавно переходит в горло; одна широкая сторона украшена рельефным изображением двуглавого орла и надписью: ""Товарищество Брокар Ко в Москве"". Основание повторяет форму тулова, по периметру плоское, в центральной части овальное углубление. Горло цилиндрической формы имеет два кольцевых утолщения - у основания и в устьевой части.",1,"[{""id"":6874062,""code"":""6874062"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874062""}]",9881858,2017-12-11T23:47:59.095Z,,НКМ ОФ 2312/3,10000015,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
"Бутылка парфюмерная ""В. Грюнингъ. Рига""",,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""стекло"",""заводское производство""]",нач.20 в.,,,,"18,5х9х5,3 см","Из прозрачного белого толстостенного стекла. Тулово 8-мигранное с выпуклой надписью В. ГРБНИНГЪ РИГА"". Основание повторяет форму тулова, по периметру проское с овальным углублением в центральной части. Плечики покатые, переход к горлу резкий. Горло высокое, узкое с кольцевым утолщением в устьевой части.",1,"[{""id"":6874063,""code"":""6874063"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874063""}]",9881859,2017-12-11T23:47:59.770Z,,НКМ ОФ 2312/10,10000016,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
"Бутылочка ""Моск. акц. Общ. К. Эрмансъ и Ко""",,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""стекло"",""заводское производство""]",нач.20 в.,,,,"высота 12, 3 см, диаметр 3 см","Из прозрачного синего стекла. Тулово цилиндрической формы с вертикальной в две строки выпуклой надписью ""МОС. АКЦ. ОБЩ. К. ЭРМАНСЪ и Ко"". Основание круглое с углублением в центальной части и надписью ""1/16 К."". Плечики покатые, переход к горлу плавный. Горло невысокое с кольцевым утолщением в устьевой части.",1,"[{""id"":6874064,""code"":""6874064"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874064""}]",9881860,2017-12-11T23:48:00.141Z,,НКМ ОФ 2312/31,10000017,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
"Бутылка ""BENEDICTINE""",,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""стекло"",""заводское производство""]",нач.20 в.,,,,"высота 25,5 см, диаметр 8,9 см","Из тёмно-зелёного прозрачного стекла. Тулово цилиндрической формы сужающейся книзу, с рельефной надписью ""+ BENEDICTINE +"", с противоположной стороны бутылки выпуклость в форме С. Основание круглого сечения, по периметру плоское, в центральной части сильное углубление во внутрь бутылки, сбоку выпуклые цифры ""22"". Плечики покатые, плавно переходив в горло. Горло высокое, узкое, круглого сечения, с кольцевым утолщением в предустьевой части.",1,"[{""id"":6874065,""code"":""6874065"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874065""}]",9881861,2017-12-11T23:52:00.620Z,,НКМ ОФ 2344/7,10000018,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
"Бутылка ""BENEDICTINE""",,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""стекло"",""заводское производство""]",нач.20 в.,,,,"высота 18 см, диаметр 6,8 см","Из тёмно-зелёного прозрачного стекла. Тулово цилиндрической формы сужающейся книзу, с рельефной надписью ""+ BENEDICTINE +"", с противоположной стороны бутылки выпуклость в форме С. Основание круглого сечения, по периметру плоское, в центральной части сильное углубление во внутрь бутылки, сбоку выпуклые цифры ""14"". Плечики покатые, плавно переходив в горло. Горло высокое, узкое, круглого сечения, с кольцевым утолщением в предустьевой части.",1,"[{""id"":6874066,""code"":""6874066"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874066""}]",9881862,2017-12-11T23:52:00.986Z,,НКМ ОФ 2344/8,10000019,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
Бутылка стеклянная,,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""стекло"",""заводское производство""]",нач.20 в.,,,,"20х5,5х5,8 см","Из прозрачного белого стекла. Тулово в форме прямоугольника, с 8-ми гранями, стороны: 4 узких и 4 широких. Основание повторяет форму тулова, по периметру плоское, в центре круглое углубление. Плечики покатые, на узких сторонах выпуклости в форме удленнёных капель, переход к горлу плавный. Горло широкое, круглого сечения с широким кольцевым утолщением у основания и в устьевой части.",1,"[{""id"":6874067,""code"":""6874067"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874067""}]",9881863,2017-12-11T23:52:01.327Z,,НКМ ОФ 2344/15,10000020,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
Бутылка керамическая,,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""керамика"",""гончарное дело""]",нач.20 в.,,,,"высота 21 см, диаметр 6,5 см","Сосуд керамический, поверхность покрыта глазурью коричневого цвета (за исключением основания). Тулово цилиндрической формы, в нижней части кольцевое углубление. Основание слабо вогнутое. Плечики округлые, переход к горлу резкий.",1,"[{""id"":6874068,""code"":""6874068"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874068""}]",9881864,2017-12-11T23:55:01.837Z,,НКМ ОФ 2663/3,10000021,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
Бутылка керамическая,,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""керамика"",""гончарное дело""]",нач.20 в.,,,,"высота 12 см, диаметр 5,7 см","Сосуд керамический, поверхность покрыта глазурью. Верхняя часть коричневого цвета, нижняя бежевого. Тулово в форме шара, сужающегося книзу, глазурь разделена вдавленой кольцевой полосой. Основание плоское с надписями: ""CENTILITRES"" и ""DEPOSE"", между ними подпись ""Bardinez"". Плечики круглые, переход к горлу плавный. Горло узкое, круглого сечения.",1,"[{""id"":6874069,""code"":""6874069"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874069""}]",9881865,2017-12-11T23:55:02.206Z,,НКМ ОФ 2663/4,10000022,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
Бутылка керамическая,,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""керамика"",""гончарное дело""]",нач.20 в.,,,,"высота 12 см, диаметр 3,5 см","Сосуд керамический, поверхность покрыта светло-коричневой глазурью. Тулово цилиндрической формы, у основания тонкое кольцевое утолщение. Основание плоское. Плечики округлые, переход к горлу резкий. В верхней части, возле горла, крепится маленькая ручка. Горло низкое, круглого сечения, с кольцевым утолщением в устьевой части.",1,"[{""id"":6874070,""code"":""6874070"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874070""}]",9881866,2017-12-11T23:55:02.564Z,,НКМ ОФ 2663/5,10000023,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
Бутылка стеклянная,,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""стекло"",""заводское производство""]",нач.20 в.,,,,"высота 19,5 см, диаметр 4,8 см","Из прозрачного белого стекла. Тулово цилиндрической формы, чуть сужается книзу.  Основание круглого сечения, по периметру округлое, в центральной части углубление. Плечики округлые, переход к горлу плавный. Горло высокое, круглого сечения, немного расширяется, а потом сужается кверху, с широким кольцевым утолщением в устьевой части.",1,"[{""id"":6874071,""code"":""6874071"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874071""}]",9881870,2017-12-12T00:03:03.187Z,,НКМ ОФ 2665/2,10000024,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
Бутылка стеклянная,,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""стекло"",""заводское производство""]",нач.20 в.,,,,"высота 24 см, диаметр 6,5 см","Из прозрачного голубовато-зеленоватого стекла. Тулово 12-тигранное сужающееся книзу, грани заканчиваются у основания плечиков в форме арок. Основание чуть вогнуто, круглого сечения, с надписью по окружности выпуклыми буквами: «З-д им. Сазонова». Плечики овальные, переход к горлу плавный. Горло невысокое, круглого сечения, с широким кольцевым утолщением в предустьевой части.",1,"[{""id"":6874072,""code"":""6874072"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874072""}]",9881871,2017-12-12T00:03:03.607Z,,НКМ ОФ 2665/3,10000025,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
Бутылка стеклянная,,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""стекло"",""заводское производство""]",нач.20 в.,,,,"высота 22,5 см, диаметр 6 см","Из прозрачного голубовато стекла. Тулово цилиндрической формы. Основание круглого сечения, по периметру плоское, углубление в центральной части. Плечики покатые, переход к горлу плавный. Горло высокое, узкое, круглого сечения с широким кольцевым утолщением в предустьевой части.",1,"[{""id"":6874073,""code"":""6874073"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874073""}]",9881872,2017-12-12T00:03:04.013Z,,НКМ ОФ 2665/5,10000026,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
Бутылка стеклянная,,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""стекло"",""заводское производство""]",нач.20 в.,,,,"высота 20,2 см, диаметр 5 см","Из прозрачного белого толстостенного стекла. Тулово цилиндрической формы. Основание круглого сечения, по периметру округлое, в центральной части углубление. Плечики покатые, переход к горлу плавный. Горло высокое, узкое, круглого сечения с широким утолщением в устьевой части.",1,"[{""id"":6874074,""code"":""6874074"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874074""}]",9881873,2017-12-12T00:03:04.402Z,,НКМ ОФ 2665/11,10000027,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
"Бутылка стеклянная ""Завед. искуств. мин. водъ""",,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""стекло"",""заводское производство""]",нач.20 в.,,,,"высота 20 см, диаметр 4,5 см","Из прозрачного светло-зелёного стекла. Тулово в форме бочонка сужающегося книзу, с выпуклыми надписями; по центру ""Завед. искуств. мин. водъ""; внизу с противоположной стороны ""Николай Ланинъ въ Московъ"". Основание круглого сечения, по периметру округлое, в центральной части углубление. Плечики покатые, переход к горлу плавный. Горло высокое, узкое, круглого сечения с широким утолщением в устьевой части",1,"[{""id"":6874075,""code"":""6874075"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874075""}]",9881874,2017-12-12T00:03:04.775Z,,НКМ ОФ 2665/12,10000028,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
"Бутылка стеклянная ""30 лет Победы""",,"Муниципальное бюджетное учреждение ""Межпоселенческий краеведческий музей им. В.Е. Розова"" Николаевского муниципального района",1580,112282,2705021028,"[""стекло"",""заводское производство""]",1975 г.,,,,"высота 24,5 см, диаметр 7 см","Из прозрачного светло-зелёного стекла. Тулово цилиндрической формы с рельефным рисунком (серп имолот наложен на звезду, внизу по краям веточки с листьями) и надписью ""30 лет Победы"". Основание круглого сечения, по периметру округлое, в центральной части углубление с рельефным рисунком и цифрами """"75"", ""05"". Плечики покатые, переход к горлу плавный. Горло высокое, круглого сечения, с широким кольцевым утолщением в устьевой части, завершается венчиком выгнутым кнаружи.",1,"[{""id"":6874076,""code"":""6874076"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874076""}]",9881875,2017-12-12T00:03:05.141Z,,НКМ ОФ 2665/13,10000029,,,,,,,,,,,,,1975-01-01T12:00:00.000Z,,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
"Документ. Книга ""Чукотка в прошлом и настоящем""",,"Муниципальное автономное учреждение культуры ""Билибинский районный краеведческий музей имени Г.С. Глазырина""",2565,118522,8703005800,"[""бумага глянцевая"",""печать полиграфическая""]",2009,"Москва г., НИИЦентр",,,"26,5*20,0*4,0 см","Книга в кожаном переплете с тиснением петроглифами. Название выполнено серебряной краской, вверху изображен белый полярный медведь",1,"[{""id"":6874147,""code"":""6874147"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874147""}]",9881876,2017-12-12T00:08:22.949Z,Д-3216,БКМ КП-8810,10000100,,,,,,,,,,,,,2009-01-01T12:00:00.000Z,,YEAR,,,,6,предметы печатной продукции,16,,,,,,,,
"Документ. Фотография цветная ""Члены бригады """,,"Муниципальное автономное учреждение культуры ""Билибинский районный краеведческий музей имени Г.С. Глазырина""",2565,118522,8703005800,"[""фотобумага матовая"",""Печать принтерная (высокая)""]",2011-2012 гг.,"Чукотский АО, Билибинский р-он, с.  Илирней, сельхозпроизводственное общество ""Тополевое""",,,"21,0*29,5 см","На фотографии изображены члены  бригады, расположившиеся возле костра. С реди них Итегина Марина с маскитной сеткой на голове. На дальнем плане стадо оленей.",1,"[{""id"":6874146,""code"":""6874146"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874146""}]",9881877,2017-12-12T00:08:22.949Z,Ф-3749,БКМ КП-8842,10000099,,,,,,,,,,,,,2011-01-01T12:00:00.000Z,2012-01-01T12:00:00.000Z,YEAR,,,,6,фотографии и негативы,17,,,,,,,,
Флаг Российской Федерации,,"Муниципальное автономное учреждение культуры ""Билибинский районный краеведческий музей имени Г.С. Глазырина""",2565,118522,8703005800,"[""ткань (синтетическая)"",""нить шелковая"",""производство промышленное""]",2000-е гг.,,,,"137,0 * 88,0 см","Флаг представляет собой полотнище прямоугольной формы с тремя равными по ширине полосами.  Верхняя – белая, средняя - синяя, нижняя – красная. Флаг по периметру обработан капроновой нитью",1,"[{""id"":6874145,""code"":""6874145"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874145""}]",9881878,2017-12-12T00:08:22.949Z,Р-1230,БКМ КП-8860,10000098,,,,,,,,,,,,,2000-01-01T12:00:00.000Z,2009-01-01T12:00:00.000Z,YEAR,,,,6,прочие,12,,,,,,,,
"Документ. Почетная грамота ДЮШС за первое место в соревнованиях на первенство  города Билибино по волейболу среди девушек, посвященных 65-летию ВОВ 1941-1945 г.г.",,"Муниципальное автономное учреждение культуры ""Билибинский районный краеведческий музей имени Г.С. Глазырина""",2565,118522,8703005800,"[""бумага плотная"",""печать типографская"",""рукопись""]",май 2010 год,"г. Билибино, Чукотский автономный округ",,,21.0*28.8 см,"Цветной типографский бланк прямоугольной формы. На лицевой стороне, выполнено изображения эмблемы победителя и название документа. Текст грамоты  обрамлен фотофрагментами спортивных дисциплин.",1,"[{""id"":6874144,""code"":""6874144"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874144""}]",9881879,2017-12-12T00:08:22.949Z,Д-3220,БКМ КП-8814,10000097,,,,,,,,,,,,,2010-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,,,,,,,,
"Документ. Фотография цветная ""Начало гона. Соперники""",,"Муниципальное автономное учреждение культуры ""Билибинский районный краеведческий музей имени Г.С. Глазырина""",2565,118522,8703005800,"[""фотобумага матовая"",""Печать принтерная (высокая)""]",2011-2012 гг.,"Чукотский АО, Билибинский р-он, с.  Илирней, сельхозпроизводственное общество ""Тополевое""",,,"29,5*21,0 см","На фоне весенней тундры пасущиеся олени, два из которых бодаются рогами.",1,"[{""id"":6874143,""code"":""6874143"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874143""}]",9881880,2017-12-12T00:08:22.949Z,Ф-3743,БКМ КП-8836,10000096,,,,,,,,,,,,,2011-01-01T12:00:00.000Z,2012-01-01T12:00:00.000Z,YEAR,,,,6,фотографии и негативы,17,,,,,,,,
"Документ. Фотография цветная ""Единство""",,"Муниципальное автономное учреждение культуры ""Билибинский районный краеведческий музей имени Г.С. Глазырина""",2565,118522,8703005800,"[""фотобумага матовая"",""печать принтерная""]",2012 г.,"Чукотский АО, Билибинский р-он, с.  Илирней, сельхозпроизводственное общество ""Тополевое""",,,"20,0*30,0 см","На фотографии изображены в тесном союзе олени, люди и их верные помошники - собаки.",1,"[{""id"":6874142,""code"":""6874142"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874142""}]",9881881,2017-12-12T00:08:22.949Z,Ф-3758,БКМ КП-8851,10000095,,,,,,,,,,,,,2012-01-01T12:00:00.000Z,,YEAR,,,,6,фотографии и негативы,17,,,,,,,,
